"No.","Time","Source","Destination","Protocol","Length","Info","rssi"
"3758","14.706894","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2259, FN=0, Flags=.p....F.",""
"3759","14.706939","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3761","14.731060","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2260, FN=0, Flags=.p....F.",""
"3762","14.731133","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3763","14.731405","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2261, FN=0, Flags=.p....F.",""
"3764","14.731448","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3766","14.750474","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2262, FN=0, Flags=.p....F.",""
"3767","14.750562","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3768","14.750815","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2263, FN=0, Flags=.p....F.",""
"3769","14.750866","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3771","14.752911","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2264, FN=0, Flags=.p....F.",""
"3772","14.752988","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-49,-50,-83,-83"
"3773","14.753248","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2265, FN=0, Flags=.p....F.",""
"3774","14.753299","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-52,-50,-83,-83"
"3776","14.760306","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2266, FN=0, Flags=.p....F.",""
"3777","14.760377","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3778","14.760642","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2267, FN=0, Flags=.p....F.",""
"3779","14.760694","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-48,-49,-83,-83"
"3781","14.774620","DallasSemico_34:53:cd","Broadcast","802.11","355","Data, SN=1371, FN=0, Flags=.pm...F.","-79,-87,-84,-83,-83"
"3782","14.785812","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2268, FN=0, Flags=.p....F.",""
"3783","14.785900","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-50,-83,-83"
"3784","14.786346","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3785","14.786311","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2269, FN=0, Flags=.p....F.",""
"3787","14.807046","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2270, FN=0, Flags=.p....F.",""
"3788","14.807109","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-52,-49,-83,-83"
"3789","14.807446","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3790","14.807426","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2271, FN=0, Flags=.p....F.",""
"3792","14.811333","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2272, FN=0, Flags=.p....F.",""
"3793","14.811404","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3794","14.811670","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2273, FN=0, Flags=.p....F.",""
"3795","14.811715","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-49,-50,-83,-83"
"3797","14.824124","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2274, FN=0, Flags=.p....F.",""
"3798","14.824202","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3799","14.824466","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2275, FN=0, Flags=.p....F.",""
"3800","14.824523","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-50,-83,-83"
"3802","14.825531","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2276, FN=0, Flags=.p....F.",""
"3803","14.825597","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3804","14.825878","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2277, FN=0, Flags=.p....F.",""
"3805","14.825923","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3807","14.843668","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2278, FN=0, Flags=.p....F.",""
"3808","14.843745","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3809","14.844013","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2279, FN=0, Flags=.p....F.",""
"3810","14.844067","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3812","14.848259","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2280, FN=0, Flags=.p....F.",""
"3813","14.848338","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3814","14.848595","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2281, FN=0, Flags=.p....F.",""
"3815","14.848648","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3817","14.863272","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2282, FN=0, Flags=.p....F.",""
"3818","14.863337","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3819","14.863703","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-48,-83,-83"
"3820","14.863685","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2283, FN=0, Flags=.p....F.",""
"3822","14.869325","Qsc_05:67:f5","Broadcast","802.11","154","Data, SN=1373, FN=0, Flags=.p....F.","-78,-86,-84,-83,-83"
"3823","14.883063","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2284, FN=0, Flags=.p....F.",""
"3824","14.883135","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3825","14.883396","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2285, FN=0, Flags=.p....F.",""
"3826","14.883446","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-52,-48,-83,-83"
"3828","14.892956","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2286, FN=0, Flags=.p....F.",""
"3829","14.893037","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-50,-83,-83"
"3830","14.893385","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-49,-83,-83"
"3831","14.893366","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2287, FN=0, Flags=.p....F.",""
"3833","14.902910","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2288, FN=0, Flags=.p....F.",""
"3834","14.902988","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3835","14.903243","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2289, FN=0, Flags=.p....F.",""
"3836","14.903294","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-49,-83,-83"
"3837","14.903593","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2290, FN=0, Flags=.p....F.",""
"3838","14.903643","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-51,-47,-83,-83"
"3839","14.903950","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2291, FN=0, Flags=.p....F.",""
"3840","14.904000","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-49,-83,-83"
"3843","14.928489","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3844","14.928462","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2292, FN=0, Flags=.p....F.",""
"3845","14.928703","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2293, FN=0, Flags=.p....F.",""
"3846","14.928748","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3849","14.936270","ASUSTekCOMPU_a8:18:d4","Intel_ec:d9:61","802.11","261","Data, SN=1114, FN=0, Flags=.p....F.",""
"3850","14.936314","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-43,-54,-43,-83,-83"
"3852","14.952599","","Netgear_2b:6e:40","802.11","70","Acknowledgement, Flags=........","-32,-35,-35,-83,-83"
"3853","14.952812","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-39,-42,-42,-83,-83"
"3854","14.953237","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-39,-42,-42,-83,-83"
"3855","14.953543","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2294, FN=0, Flags=.p....F.",""
"3856","14.953596","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3857","14.953898","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2295, FN=0, Flags=.p....F.",""
"3858","14.953972","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-49,-83,-83"
"3859","14.954251","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2296, FN=0, Flags=.p....F.",""
"3860","14.954300","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3861","14.954722","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-52,-50,-83,-83"
"3862","14.954704","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2297, FN=0, Flags=.p....F.",""
"3865","14.965854","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2298, FN=0, Flags=.p....F.",""
"3866","14.965918","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-51,-47,-83,-83"
"3867","14.966208","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2299, FN=0, Flags=.p....F.",""
"3868","14.966261","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3870","14.968194","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2300, FN=0, Flags=.p....F.",""
"3871","14.968261","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-50,-83,-83"
"3872","14.968532","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2301, FN=0, Flags=.p....F.",""
"3873","14.968577","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3875","14.972616","DallasSemico_34:4e:85","Broadcast","802.11","356","Data, SN=1374, FN=0, Flags=.pm...F.","-78,-88,-81,-83,-83"
"3876","14.986623","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2302, FN=0, Flags=.p....F.",""
"3877","14.986695","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3878","14.986958","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2303, FN=0, Flags=.p....F.",""
"3879","14.987011","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3881","14.990169","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2304, FN=0, Flags=.p....F.",""
"3882","14.990238","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3883","14.990514","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2305, FN=0, Flags=.p....F.",""
"3884","14.990559","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-52,-50,-83,-83"
"3886","15.005121","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2306, FN=0, Flags=.p....F.",""
"3887","15.005202","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-49,-83,-83"
"3888","15.005551","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3889","15.005532","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2307, FN=0, Flags=.p....F.",""
"3891","15.024716","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2308, FN=0, Flags=.p....F.",""
"3892","15.024784","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3893","15.025048","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2309, FN=0, Flags=.p....F.",""
"3894","15.025092","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-48,-83,-83"
"3896","15.035648","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3897","15.035614","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2310, FN=0, Flags=.p....F.",""
"3898","15.035850","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2311, FN=0, Flags=.p....F.",""
"3899","15.035902","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3902","15.045222","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","85","Data, SN=2312, FN=0, Flags=.p....F.",""
"3903","15.045300","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-48,-49,-83,-83"
"3904","15.046037","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2313, FN=0, Flags=.p....F.",""
"3905","15.046093","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3906","15.046516","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2314, FN=0, Flags=.p....F.",""
"3907","15.046576","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3908","15.046860","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2315, FN=0, Flags=.p....F.",""
"3909","15.046909","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3910","15.047206","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2316, FN=0, Flags=.p....F.",""
"3911","15.047247","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3914","15.068841","HP_b7:c3:80","IPv4mcast_fb","802.11","371","Data, SN=460, FN=0, Flags=.p....F.","-79,-89,-85,-83,-83"
"3915","15.070891","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2317, FN=0, Flags=.p....F.",""
"3916","15.070951","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3917","15.071230","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2318, FN=0, Flags=.p....F.",""
"3918","15.071276","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3920","15.081004","DallasSemico_34:4d:20","Broadcast","802.11","354","Data, SN=1380, FN=0, Flags=.pm...F.","-79,-86,-85,-83,-83"
"3921","15.081385","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2319, FN=0, Flags=.p....F.",""
"3922","15.081439","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3923","15.081728","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2320, FN=0, Flags=.p....F.",""
"3924","15.081776","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3926","15.097036","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2321, FN=0, Flags=.p....F.",""
"3927","15.097112","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3928","15.097378","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2322, FN=0, Flags=.p....F.",""
"3929","15.097436","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-51,-47,-83,-83"
"3930","15.097737","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2323, FN=0, Flags=.p....F.",""
"3931","15.097819","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3932","15.098084","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2324, FN=0, Flags=.p....F.",""
"3933","15.098130","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-50,-47,-83,-83"
"3936","15.108044","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2325, FN=0, Flags=.p....F.",""
"3937","15.108124","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-50,-49,-83,-83"
"3938","15.108378","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2326, FN=0, Flags=.p....F.",""
"3939","15.108428","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-51,-50,-83,-83"
"3941","15.112304","HP_7f:af:c3","Broadcast","802.11","154","Data, SN=464, FN=0, Flags=.p....F.","-80,-93,-89,-83,-83"
"3942","15.114353","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2327, FN=0, Flags=.p....F.",""
"3943","15.114415","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3944","15.114696","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2328, FN=0, Flags=.p....F.",""
"3945","15.114748","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3947","15.131491","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2329, FN=0, Flags=.p....F.",""
"3948","15.131573","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3949","15.131830","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2330, FN=0, Flags=.p....F.",""
"3950","15.131885","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3951","15.132195","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2331, FN=0, Flags=.p....F.",""
"3952","15.132279","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3953","15.132536","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2332, FN=0, Flags=.p....F.",""
"3954","15.132586","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3957","15.147275","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2333, FN=0, Flags=.p....F.",""
"3958","15.147359","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3959","15.147607","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2334, FN=0, Flags=.p....F.",""
"3960","15.147652","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-48,-52,-50,-83,-83"
"3962","15.167317","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2335, FN=0, Flags=.p....F.",""
"3963","15.167400","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-48,-47,-83,-83"
"3964","15.168221","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3965","15.168201","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2336, FN=0, Flags=.p....F.",""
"3967","15.178067","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2337, FN=0, Flags=.p....F.",""
"3968","15.178138","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3969","15.178413","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2338, FN=0, Flags=.p....F.",""
"3970","15.178470","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3972","15.181989","XianNovaStar_0a:a0:22","Broadcast","802.11","154","Data, SN=1386, FN=0, Flags=.p....F.","-78,-87,-83,-83,-83"
"3973","15.188406","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2339, FN=0, Flags=.p....F.",""
"3974","15.188474","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-49,-83,-83"
"3975","15.188742","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2340, FN=0, Flags=.p....F.",""
"3976","15.188789","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3978","15.189869","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2341, FN=0, Flags=.p....F.",""
"3979","15.189930","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"3980","15.190208","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2342, FN=0, Flags=.p....F.",""
"3981","15.190258","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-52,-47,-83,-83"
"3983","15.216932","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2343, FN=0, Flags=.p....F.",""
"3984","15.217014","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3985","15.217266","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2344, FN=0, Flags=.p....F.",""
"3986","15.217314","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3988","15.226950","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2345, FN=0, Flags=.p....F.",""
"3989","15.227026","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-48,-83,-83"
"3990","15.227287","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2346, FN=0, Flags=.p....F.",""
"3991","15.227330","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3993","15.239039","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2347, FN=0, Flags=.p....F.",""
"3994","15.239113","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-45,-49,-47,-83,-83"
"3995","15.239384","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2348, FN=0, Flags=.p....F.",""
"3996","15.239430","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-46,-49,-48,-83,-83"
"3998","15.242987","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2349, FN=0, Flags=.p....F.",""
"3999","15.243053","","ASUSTekCOMPU_a8:18:d0","802.11","70","Acknowledgement, Flags=........","-47,-51,-49,-83,-83"
"4000","15.243329","ASUSTekCOMPU_a8:18:d4","ChongqingFug_be:12:0f","802.11","1501","Data, SN=2350, FN=0, Flags=.p....F.",""
